Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (CH)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-09T18:00+01:00,2957.75192,462.5,5946.219227,134.99
2025-01-09T19:00+01:00,2963.958429,462.5,5630.222901,132.9
2025-01-09T20:00+01:00,2966.441033,462.5,3384.961013,126.89
2025-01-09T21:00+01:00,2969.714466,462.5,2745.583725,123.09
2025-01-09T22:00+01:00,2979.354576,462.5,2391.414011,122.07
2025-01-09T23:00+01:00,2979.024229,462.5,1890.472705,114.97
2025-01-10T00:00+01:00,2978.123285,462.5,2182.515469,109.15
2025-01-10T01:00+01:00,2969.764518,462.5,2057.489391,105.5
2025-01-10T02:00+01:00,2970.19497,462.5,2028.369649,98.99
2025-01-10T03:00+01:00,2970.265043,462.5,1967.164404,95.51
2025-01-10T04:00+01:00,2968.39308,462.5,2155.822264,95.71
2025-01-10T05:00+01:00,2968.092765,462.5,2277.112106,106.81
2025-01-10T06:00+01:00,2965.740298,462.5,3448.725906,117.19
2025-01-10T07:00+01:00,2964.388881,462.5,5153.502136,126.1
2025-01-10T08:00+01:00,2962.687096,462.5,5964.965333,133.88
2025-01-10T09:00+01:00,2965.540088,462.5,6024.778992,131.8
2025-01-10T10:00+01:00,2967.492135,462.5,5537.411266,127.2
2025-01-10T11:00+01:00,2963.157589,462.5,4924.229947,122.47
2025-01-10T12:00+01:00,2965.840403,462.5,4125.330409,120.39
2025-01-10T13:00+01:00,2969.844602,462.5,4330.969965,117.2
2025-01-10T14:00+01:00,2969.844602,462.5,3966.075612,117.2
2025-01-10T15:00+01:00,2969.013731,462.5,4751.51869,127.83
2025-01-10T16:00+01:00,2969.113836,462.5,5123.324079,137.3
2025-01-10T17:00+01:00,2971.095915,462.5,6425.71133,146.19
2025-01-10T18:00+01:00,2972.767668,462.5,6368.315405,148.33
2025-01-10T19:00+01:00,2978.22339,462.5,6238.920242,143.04
2025-01-10T20:00+01:00,2978.62381,462.5,5167.83125,133.19
2025-01-10T21:00+01:00,2980.275542,462.5,4200.783159,125.53
2025-01-10T22:00+01:00,2982.207568,462.5,3642.962652,122.1
2025-01-10T23:00+01:00,2980.155416,462.5,3157.420343,117.51
2025-01-11T00:00+01:00,2973.01793,462.5,2731.443899,113.68
2025-01-11T01:00+01:00,2974.569558,462.5,2370.786976,113.02
2025-01-11T02:00+01:00,2975.100114,462.5,2073.315221,109
2025-01-11T03:00+01:00,2975.02003,462.5,2068.71102,107.76
2025-01-11T04:00+01:00,2974.769768,462.5,2332.31972,107.44
2025-01-11T05:00+01:00,2973.598539,462.5,2033.62141,108.59
2025-01-11T06:00+01:00,2972.897804,462.5,2648.548776,111.74
2025-01-11T07:00+01:00,2973.298224,462.5,3091.034885,114.98
2025-01-11T08:00+01:00,2972.667563,462.5,3644.407017,120.3
2025-01-11T09:00+01:00,2973.21814,462.5,3273.750525,119.07
2025-01-11T10:00+01:00,2973.718665,462.5,4006.695452,114.97
2025-01-11T11:00+01:00,2969.79455,462.5,4158.976584,108.97
2025-01-11T12:00+01:00,2971.145967,462.5,3731.250945,108.59
2025-01-11T13:00+01:00,2969.414151,462.5,3477.660193,108.59
2025-01-11T14:00+01:00,2968.212891,462.5,3108.758218,108.59
2025-01-11T15:00+01:00,2969.063784,462.5,2966.390868,112.06
2025-01-11T16:00+01:00,2971.39623,462.5,3280.150556,119.8
2025-01-11T17:00+01:00,2972.747647,462.5,3992.299234,127.69
2025-01-11T18:00+01:00,2970.265043,462.5,4705.697216,133.08
2025-01-11T19:00+01:00,2969.344077,462.5,4776.023859,132.89
2025-01-11T20:00+01:00,2970.895705,462.5,4181.734093,127.1
2025-01-11T21:00+01:00,2970.745547,462.5,3536.527017,123.02
2025-01-11T22:00+01:00,2973.248172,462.5,3003.742168,121.2
